Laiks,Pilsēta,Temperatūra,Sajūtu_temp,Mitrums,Spiediens,Vēja_ātrums,Vēja_virziens,Lietus_mm,Sniegs_mm,Apraksts
2025-05-21 19:53:24,Riga,20.04,18.94,32,1003,4.12,210,0,0,clear sky
2025-05-21 19:53:24,Madona,15.77,14.94,59,1005,2.56,194,0,0,few clouds
2025-05-21 19:53:24,Tukums,16.85,16.08,57,1003,3.65,207,0,0,few clouds
2025-05-21 20:02:22,Riga,20.04,18.94,32,1003,4.12,210,0,0,clear sky
2025-05-21 20:02:22,Madona,15.77,14.94,59,1005,2.56,194,0,0,few clouds
2025-05-21 20:02:23,Tukums,16.85,16.08,57,1003,3.65,207,0,0,few clouds
2025-05-21 20:10:49,Riga,19.46,18.43,37,1002,4.12,210,0,0,clear sky
2025-05-21 20:10:50,Madona,15.79,14.91,57,1005,2.56,194,0,0,few clouds
2025-05-21 20:10:50,Tukums,16.84,15.89,50,1003,3.65,207,0,0,few clouds
2025-05-21 20:15:16,Riga,19.46,18.43,37,1002,4.12,210,0,0,clear sky
2025-05-21 20:15:16,Madona,15.79,14.91,57,1005,2.56,194,0,0,few clouds
2025-05-21 20:15:16,Tukums,16.84,15.89,50,1003,3.65,207,0,0,few clouds
2025-05-21 20:15:41,Riga,19.46,18.43,37,1002,4.12,210,0,0,clear sky
2025-05-21 20:15:41,Madona,15.79,14.91,57,1005,2.56,194,0,0,few clouds
2025-05-21 20:15:41,Tukums,16.84,15.89,50,1003,3.65,207,0,0,few clouds
2025-05-21 20:16:05,Riga,19.46,18.43,37,1002,4.12,210,0,0,clear sky
2025-05-21 20:16:05,Madona,15.79,14.91,57,1005,2.56,194,0,0,few clouds
2025-05-21 20:16:05,Tukums,16.84,15.89,50,1003,3.65,207,0,0,few clouds
2025-05-21 20:16:21,Riga,19.46,18.43,37,1002,4.12,210,0,0,clear sky
2025-05-21 20:16:21,Madona,15.79,14.91,57,1005,2.56,194,0,0,few clouds
2025-05-21 20:16:21,Tukums,16.84,15.89,50,1003,3.65,207,0,0,few clouds
2025-05-21 20:29:08,Riga,19.46,18.45,38,1002,2.57,200,0,0,clear sky
2025-05-21 20:29:08,Madona,15.68,14.82,58,1005,2.56,194,0,0,few clouds
2025-05-21 20:29:08,Tukums,16.68,15.76,52,1003,3.65,207,0,0,few clouds
2025-05-21 21:03:01,Riga,17.04,15.97,45,1003,2.57,180,0,0,clear sky
2025-05-21 21:03:01,Madona,13.21,12.41,70,1005,2.31,171,0,0,few clouds
2025-05-21 21:03:01,Tukums,14.21,13.41,66,1003,3.18,203,0,0,few clouds
2025-05-21 21:16:58,Riga,17.04,15.97,45,1002,2.57,180,0,0,clear sky
2025-05-21 21:16:58,Madona,13.23,12.41,69,1005,2.31,171,0,0,few clouds
2025-05-21 21:16:59,Tukums,14.11,13.2,62,1003,3.18,203,0,0,few clouds
2025-05-21 21:17:47,Riga,17.04,15.97,45,1002,2.57,180,0,0,clear sky
2025-05-21 21:17:47,Madona,13.23,12.41,69,1005,2.31,171,0,0,few clouds
2025-05-21 21:17:47,Tukums,14.11,13.2,62,1003,3.18,203,0,0,few clouds
2025-05-21 21:28:41,Riga,15.04,14.04,55,1002,2.06,150,0,0,few clouds
2025-05-21 21:28:41,Madona,13.11,12.3,70,1005,2.31,171,0,0,few clouds
2025-05-21 21:28:41,Tukums,14,13.13,64,1003,3.18,203,0,0,few clouds
2025-05-21 21:54:02,Riga,15.04,14.04,55,1003,1.54,150,0,0,few clouds
2025-05-21 21:54:03,Madona,11.47,10.74,79,1005,2.31,186,0,0,clear sky
2025-05-21 21:54:03,Tukums,13.2,12.4,70,1003,4.28,204,0,0,overcast clouds
2025-05-21 22:12:03,Riga,15.04,14.04,55,1001,1.54,150,0,0,few clouds
2025-05-21 22:12:03,Madona,11.59,10.84,78,1005,2.31,186,0,0,clear sky
2025-05-21 22:12:03,Liepaja,9.99,8.18,87,1003,3.6,190,0,0,clear sky
2025-05-21 22:12:40,Riga,15.04,14.04,55,1001,1.54,150,0,0,few clouds
2025-05-21 22:12:40,Madona,11.59,10.84,78,1005,2.31,186,0,0,clear sky
2025-05-21 22:12:40,Tukums,12.99,12.04,65,1003,4.28,204,0,0,overcast clouds
2025-05-21 22:14:21,New,24.91,25.88,93,1012,1.7,203,0.12,0,light rain
2025-05-21 22:14:21,York,11.89,11.46,89,1010,4.63,100,0,0,mist
2025-05-21 22:15:33,Riga,15.04,14.04,55,1001,1.54,150,0,0,few clouds
2025-05-21 22:15:33,Madona,11.59,10.84,78,1005,2.31,186,0,0,clear sky
2025-05-21 22:15:33,Tukums,13.2,12.4,70,1003,4.28,204,0,0,overcast clouds
2025-05-21 22:48:21,Riga,15.04,14.04,55,1002,2.06,170,0,0,scattered clouds
2025-05-21 22:48:21,Madona,10.85,10.31,89,1005,2.28,189,0,0,clear sky
2025-05-21 22:48:21,Tukums,12.29,11.38,69,1003,4.35,200,0,0,overcast clouds
